NumericIndex,ShortNameIndex,LongNameIndex,Row,Col,Dose,CellType,nc_ratio,log2_nc_ratio,baseline_log2,log2_fold_change
22,B10,B10,B,10,-11.523,MCF7,0.9055585888013514,-0.14312010966030922,0.021158123306008945,-0.16427823296631816
23,B11,B11,B,11,-12.0,MCF7,0.9255630585366506,-0.11159681074612418,0.021158123306008945,-0.13275493405213312
24,B12,B12,B,12,-13.0,MCF7,0.9922399399430758,-0.01123906468952555,0.021158123306008945,-0.032397187995534496
25,C1,C01,C,1,-7.0,MCF7,1.7551771951307353,0.811616686160528,0.021158123306008945,0.790458562854519
26,C2,C02,C,2,-7.523,MCF7,1.7808947985546666,0.8326022957285875,0.021158123306008945,0.8114441724225785
27,C3,C03,C,3,-8.0,MCF7,1.7097527690679544,0.773787725914492,0.021158123306008945,0.752629602608483
28,C4,C04,C,4,-8.523,MCF7,1.6584530179952635,0.7298381428673829,0.021158123306008945,0.7086800195613739
29,C5,C05,C,5,-9.0,MCF7,1.5723600455154856,0.6529316097109316,0.021158123306008945,0.6317734864049226
30,C6,C06,C,6,-9.523,MCF7,1.2989762494436137,0.377375052707915,0.021158123306008945,0.356216929401906
31,C7,C07,C,7,-10.0,MCF7,1.0881756230150226,0.12191141504940732,0.021158123306008945,0.10075329174339838
32,C8,C08,C,8,-10.523,MCF7,0.9650178392046832,-0.051372482771673125,0.021158123306008945,-0.07253060607768207
33,C9,C09,C,9,-11.0,MCF7,0.9507736082757735,-0.07282623760838831,0.021158123306008945,-0.09398436091439726
34,C10,C10,C,10,-11.523,MCF7,0.9131716761751315,-0.13104198266967554,0.021158123306008945,-0.15220010597568448
35,C11,C11,C,11,-12.0,MCF7,0.962563204426043,-0.05504681993974903,0.021158123306008945,-0.07620494324575798
36,C12,C12,C,12,-13.0,MCF7,1.040756039053704,0.05763192983297434,0.021158123306008945,0.0364738065269654
37,D1,D01,D,1,-7.0,MCF7,1.8318576148353405,0.8733073711455331,0.021158123306008945,0.8521492478395242
38,D2,D02,D,2,-7.523,MCF7,1.665941498231233,0.7363377394228008,0.021158123306008945,0.7151796161167918
39,D3,D03,D,3,-8.0,MCF7,1.6986706575540156,0.7644061663706769,0.021158123306008945,0.743248043064668
40,D4,D04,D,4,-8.523,MCF7,1.6619044937492962,0.7328374757584744,0.021158123306008945,0.7116793524524654
41,D5,D05,D,5,-9.0,MCF7,1.5533124838364583,0.6353480895655121,0.021158123306008945,0.6141899662595032
42,D6,D06,D,6,-9.523,MCF7,1.2958410718434177,0.3738887900411479,0.021158123306008945,0.3527306667351389
43,D7,D07,D,7,-10.0,MCF7,1.0570038798263452,0.07998067227022218,0.021158123306008945,0.05882254896421324
44,D8,D08,D,8,-10.523,MCF7,0.9688169722796192,-0.0457039556920739,0.021158123306008945,-0.06686207899808284
45,D9,D09,D,9,-11.0,MCF7,0.8978803388767954,-0.15540490605911678,0.021158123306008945,-0.17656302936512572
46,D10,D10,D,10,-11.523,MCF7,0.8842137002823387,-0.17753300685611265,0.021158123306008945,-0.1986911301621216
47,D11,D11,D,11,-12.0,MCF7,0.9457548176844417,-0.08046187449111468,0.021158123306008945,-0.10161999779712362
48,D12,D12,D,12,-13.0,MCF7,1.0113607350745046,0.016297673677782863,0.021158123306008945,-0.004860449628226082
49,E1,E01,E,1,-7.0,A549,2.028244399604955,1.0202315048332407,0.08492508253016913,0.9353064223030715
50,E2,E02,E,2,-7.523,A549,1.9469286345698824,0.9612000024767534,0.08492508253016913,0.8762749199465842
51,E3,E03,E,3,-8.0,A549,2.111205818373943,1.0780672317751452,0.08492508253016913,0.993142149244976
52,E4,E04,E,4,-8.523,A549,1.9634462042171885,0.973388070643836,0.08492508253016913,0.8884629881136669
53,E5,E05,E,5,-9.0,A549,1.8140627514702832,0.859224361968505,0.08492508253016913,0.7742992794383359
54,E6,E06,E,6,-9.523,A549,1.5483586300928864,0.6307396665292445,0.08492508253016913,0.5458145839990753
55,E7,E07,E,7,-10.0,A549,1.2777684999802978,0.3536264793339112,0.08492508253016913,0.2687013968037421
56,E8,E08,E,8,-10.523,A549,1.095434603507214,0.13150335926012938,0.08492508253016913,0.04657827672996025
57,E9,E09,E,9,-11.0,A549,1.0106421119826507,0.015272201318982074,0.08492508253016913,-0.06965288121118705
58,E10,E10,E,10,-11.523,A549,0.9964606381708231,-0.00511527751729013,0.08492508253016913,-0.09004036004745926
59,E11,E11,E,11,-12.0,A549,0.9859694717841285,-0.02038511723699519,0.08492508253016913,-0.10531019976716433
60,E12,E12,E,12,-13.0,A549,1.1179778351875311,0.16089158587160884,0.08492508253016913,0.07596650334143971
61,F1,F01,F,1,-7.0,A549,1.9722008353805263,0.9798064733457637,0.08492508253016913,0.8948813908155945
62,F2,F02,F,2,-7.523,A549,1.892354563182449,0.9201824262146384,0.08492508253016913,0.8352573436844692
63,F3,F03,F,3,-8.0,A549,1.9045865390003922,0.9294778413537422,0.08492508253016913,0.8445527588235731
64,F4,F04,F,4,-8.523,A549,1.8183336547810542,0.8626169508695184,0.08492508253016913,0.7776918683393492
65,F5,F05,F,5,-9.0,A549,1.818100320429339,0.8624318077788721,0.08492508253016913,0.7775067252487029
66,F6,F06,F,6,-9.523,A549,1.5398481398265427,0.6227880790227412,0.08492508253016913,0.5378629964925721
67,F7,F07,F,7,-10.0,A549,1.290245772401984,0.3676459035189327,0.08492508253016913,0.2827208209887636
68,F8,F08,F,8,-10.523,A549,1.0666054987344242,0.09302667076380561,0.08492508253016913,0.008101588233636478
69,F9,F09,F,9,-11.0,A549,0.9845236381657942,-0.022502249598354004,0.08492508253016913,-0.10742733212852314
70,F10,F10,F,10,-11.523,A549,0.9420183166416647,-0.08617298295674955,0.08492508253016913,-0.1710980654869187
71,F11,F11,F,11,-12.0,A549,0.9790504089300497,-0.0305449522788644,0.08492508253016913,-0.11547003480903353
72,F12,F12,F,12,-13.0,A549,1.0269684387073363,0.03839184473295439,0.08492508253016913,-0.04653323779721474
73,G1,G01,G,1,-7.0,A549,2.1316029947357746,1.0919387650858974,0.08492508253016913,1.0070136825557283
74,G2,G02,G,2,-7.523,A549,2.055894152690566,1.0397659895710185,0.08492508253016913,0.9548409070408493
75,G3,G03,G,3,-8.0,A549,2.042164321757911,1.0300989566404377,0.08492508253016913,0.9451738741102685
76,G4,G04,G,4,-8.523,A549,1.9736873078376431,0.9808934410782029,0.08492508253016913,0.8959683585480337
77,G5,G05,G,5,-9.0,A549,1.8631941231148474,0.8977779941212509,0.08492508253016913,0.8128529115910818
78,G6,G06,G,6,-9.523,A549,1.4578460347213436,0.5438383625502781,0.08492508253016913,0.45891328002010895
79,G7,G07,G,7,-10.0,A549,1.2985003477245196,0.3768464003546899,0.08492508253016913,0.2919213178245208
80,G8,G08,G,8,-10.523,A549,1.1316480845963122,0.1784253843696026,0.08492508253016913,0.09350030183943346
81,G9,G09,G,9,-11.0,A549,1.022755737067289,0.032461629932205166,0.08492508253016913,-0.052463452597963964
82,G10,G10,G,10,-11.523,A549,1.0334483030470258,0.047466221561509814,0.08492508253016913,-0.037458860968659316
83,G11,G11,G,11,-12.0,A549,1.0043650728470295,0.0062837643607159075,0.08492508253016913,-0.07864131816945322
84,G12,G12,G,12,-13.0,A549,1.0429202254953989,0.06062880820880248,0.08492508253016913,-0.024296274321366648
85,H1,H01,H,1,-7.0,A549,1.849607478148268,0.887219135923554,0.08492508253016913,0.8022940533933848
86,H2,H02,H,2,-7.523,A549,1.9270579083768906,0.9463999254856821,0.08492508253016913,0.8614748429555129
87,H3,H03,H,3,-8.0,A549,1.9133656779053818,0.936112624486051,0.08492508253016913,0.8511875419558819
88,H4,H04,H,4,-8.523,A549,1.9402356187016663,0.956231861325601,0.08492508253016913,0.8713067787954318
89,H5,H05,H,5,-9.0,A549,1.778850673269235,0.8309454077517733,0.08492508253016913,0.7460203252216041
90,H6,H06,H,6,-9.523,A549,1.5080832406821745,0.5927160622969104,0.08492508253016913,0.5077909797667413
91,H7,H07,H,7,-10.0,A549,1.3027238945248696,0.38153134468167244,0.08492508253016913,0.2966062621515033
92,H8,H08,H,8,-10.523,A549,1.1052849072809998,0.14441829843215875,0.08492508253016913,0.059493215901989624
93,H9,H09,H,9,-11.0,A549,1.0625982377532985,0.08759622531428053,0.08492508253016913,0.002671142784111402
94,H10,H10,H,10,-11.523,A549,0.9947756719308338,-0.00755686921222938,0.08492508253016913,-0.09248195174239851
95,H11,H11,H,11,-12.0,A549,1.0071971219716298,0.01034606572795725,0.08492508253016913,-0.07457901680221188
96,H12,H12,H,12,-13.0,A549,1.0568627930175671,0.0797880913073108,0.08492508253016913,-0.005136991222858336
